ID	Total Sequences	Percent Failed	Percent GC	Percent Duplication
WGA_Adu-CHam_NR_0.32	36212874	9.090909091	40	18.68739593
WGA_Adu-CHam_NR_1	53200617	18.18181818	41	20.32664652
WGA_Adu-CHam_NR_3.2	47304959	18.18181818	41	19.12451636
WGA_Adu-CHam_R_0.32	23623632	9.090909091	40	27.53452654
WGA_Adu-CHam_R_1	41147954	9.090909091	41	26.46194291
WGA_Adu-CHam_R_3.2	45911457	18.18181818	41	26.83967583
WGA_Aur-APnb_NR_0.32	36501618	27.27272727	38	79.47673341
WGA_Aur-CRag_NR_0.32	52363118	9.090909091	41	23.74781691
WGA_Aur-CRag_NR_1	34874118	0	41	20.50996956
WGA_Aur-CRag_NR_3.2	58486748	9.090909091	41	25.30106873
WGA_Aur-CRag_R_0.32	41474336	18.18181818	42	23.91195906
WGA_Aur-CRag_R_1	47461542	9.090909091	41	26.60449107
WGA_Aur-CRag_R_3.2	5799803	9.090909091	41	18.17974206
WGA_Hte-CTic_NR_0.32	42551314	18.18181818	41	16.92818247
WGA_Hte-CTic_NR_1	61696102	9.090909091	41	24.75091448
WGA_Hte-CTic_NR_3.2	47831242	18.18181818	42	17.24925904
WGA_Hte-CTic_R_0.32	52887598	18.18181818	41	19.37533055
WGA_Hte-CTic_R_1	54231592	18.18181818	42	17.36835091
WGA_Hte-CTic_R_3.2	33554164	9.090909091	39	18.81131542
WGA_Lle-AMnt_NR_1	58207111	27.27272727	39	76.15318656
WGA_Lle-AMnt_R_1	66047458	27.27272727	40	67.54029909
WGA_Lle-CNas_NR_0.32	41400348	0	43	17.59919512
WGA_Lle-CNas_NR_1	25481283	9.090909091	43	16.52196736
WGA_Lle-CNas_NR_3.2	50028399	18.18181818	44	18.32409754
WGA_Lle-CNas_R_0.32	43058429	9.090909091	44	17.69599609
WGA_Lle-CNas_R_3.2	43225913	18.18181818	44	18.31322307
WGA_Sob-ABil_NR_3.2	48389904	36.36363636	46	52.55423586
WGA_Sob-ABil_R_1	65944517	27.27272727	45	61.75814824
WGA_Ssp-AAtu_R_3.2	46899080	0	40	20.57548781
WGA_Ssp-CGub_NR_0.32	41658487	18.18181818	44	15.8192027
WGA_Ssp-CGub_NR_1	41440036	18.18181818	42	18.24818753
WGA_Ssp-CGub_NR_3.2	41427411	18.18181818	42	17.18735716
WGA_Ssp-CGub_R_0.32	54365388	18.18181818	44	17.36761569
WGA_Ssp-CGub_R_1	52688931	18.18181818	44	16.7767322
WGA_Ssp-CGub_R_3.2	46866058	27.27272727	43	21.96257272
